N,snv_offset,delta,lflank,n_loci,frac_T,frac_D
5,2,3,4,5420,0.06420664206642067,0.0018450184501845018
5,2,3,5,5420,0.026568265682656828,0.00036900369003690036
5,2,3,6,5420,0.010701107011070111,0.0
5,2,3,7,5420,0.004797047970479705,0.0
5,2,3,8,5420,0.0009225092250922509,0.0
5,2,3,9,5420,0.00018450184501845018,0.0
5,2,3,10,5420,0.00018450184501845018,0.0
5,2,4,2,5420,0.3359778597785978,0.032103321033210334
5,2,4,3,5420,0.15350553505535056,0.008118081180811807
5,2,4,4,5420,0.06420664206642067,0.0018450184501845018
5,2,4,5,5420,0.026568265682656828,0.00036900369003690036
5,2,4,6,5420,0.010701107011070111,0.0
5,2,4,7,5420,0.004797047970479705,0.0
5,2,4,8,5420,0.0009225092250922509,0.0
5,2,4,9,5420,0.00018450184501845018,0.0
5,2,4,10,5420,0.00018450184501845018,0.0
5,2,5,2,5420,0.3359778597785978,0.032103321033210334
5,2,5,3,5420,0.15350553505535056,0.008118081180811807
5,2,5,4,5420,0.06420664206642067,0.0018450184501845018
5,2,5,5,5420,0.026568265682656828,0.00036900369003690036
5,2,5,6,5420,0.010701107011070111,0.0
5,2,5,7,5420,0.004797047970479705,0.0
5,2,5,8,5420,0.0009225092250922509,0.0
5,2,5,9,5420,0.00018450184501845018,0.0
5,2,5,10,5420,0.00018450184501845018,0.0
5,3,-5,1,5420,0.00018450184501845018,0.0
5,3,-5,3,5420,0.11605166051660516,0.10166051660516605
5,3,-5,4,5420,0.05940959409594096,0.033210332103321034
5,3,-5,5,5420,0.021771217712177122,0.016605166051660517
5,3,-5,6,5420,0.004981549815498155,0.007380073800738007
5,3,-5,7,5420,0.0018450184501845018,0.0025830258302583027
5,3,-5,8,5420,0.00018450184501845018,0.0005535055350553505
5,3,-4,3,5420,0.15129151291512916,0.014575645756457565
5,3,-4,4,5420,0.07214022140221402,0.003136531365313653
5,3,-4,5,5420,0.026199261992619925,0.001107011070110701
5,3,-4,6,5420,0.006273062730627306,0.00036900369003690036
5,3,-4,7,5420,0.002214022140221402,0.00018450184501845018
5,3,-4,8,5420,0.00036900369003690036,0.0
5,3,-3,3,5420,0.15129151291512916,0.014575645756457565
5,3,-3,4,5420,0.07214022140221402,0.003136531365313653
5,3,-3,5,5420,0.026199261992619925,0.001107011070110701
5,3,-3,6,5420,0.006273062730627306,0.00036900369003690036
5,3,-3,7,5420,0.002214022140221402,0.00018450184501845018
5,3,-3,8,5420,0.00036900369003690036,0.0
5,3,-2,3,5420,0.15129151291512916,0.014575645756457565
5,3,-2,4,5420,0.07214022140221402,0.003136531365313653
5,3,-2,5,5420,0.026199261992619925,0.001107011070110701
5,3,-2,6,5420,0.006273062730627306,0.00036900369003690036
5,3,-2,7,5420,0.002214022140221402,0.00018450184501845018
5,3,-2,8,5420,0.00036900369003690036,0.0
