arm,N,snv_offset,n_loci,mean,p10,p25,median,p75,p90,frac_loci_at_100pct,frac_loci_at_95pct,frac_loci_at_50pct
BWA-std,10,5,5420.0,0.13530358939953033,0.12727272727272726,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,10,6,5420.0,0.1531247903388125,0.14545454545454545,0.15454545454545454,0.15454545454545454,0.15454545454545454,0.15454545454545454,0.0,0.0,0.0
BWA-std,10,10,5420.0,0.2616420664206642,0.2545454545454545,0.2636363636363636,0.2636363636363636,0.2636363636363636,0.2636363636363636,0.0,0.0,0.0
BWA-std,10,11,5420.0,0.2708973498825897,0.2636363636363636,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
BWA-std,20,-1,5420.0,0.2708973498825897,0.2636363636363636,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
BWA-std,20,1,5420.0,0.12951358604495133,0.11818181818181818,0.11818181818181818,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,20,2,5420.0,0.13572291177457227,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,20,3,5420.0,0.13577658503857762,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,20,4,5420.0,0.14383931566588395,0.13636363636363635,0.14545454545454545,0.14545454545454545,0.14545454545454545,0.14545454545454545,0.0,0.0,0.0
BWA-std,20,5,5420.0,0.13530358939953033,0.12727272727272726,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.0,0.0,0.0
BWA-std,20,6,5420.0,0.1531247903388125,0.14545454545454545,0.15454545454545454,0.15454545454545454,0.15454545454545454,0.15454545454545454,0.0,0.0,0.0
BWA-std,20,10,5420.0,0.2616420664206642,0.2545454545454545,0.2636363636363636,0.2636363636363636,0.2636363636363636,0.2636363636363636,0.0,0.0,0.0
BWA-std,20,11,5420.0,0.2708973498825897,0.2636363636363636,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
NW-flex,5,-1,5420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,5,1,5420.0,0.9232723918148273,0.8,0.9,0.9818181818181818,1.0,1.0,0.3411439114391144,0.5806273062730627,0.9961254612546125
NW-flex,5,2,5420.0,0.9924723247232472,0.9818181818181818,0.990909090909091,1.0,1.0,1.0,0.7415129151291513,0.9654981549815498,1.0
NW-flex,5,3,5420.0,0.9967661858436765,0.990909090909091,1.0,1.0,1.0,1.0,0.8846863468634686,0.9848708487084871,1.0
NW-flex,5,4,5420.0,0.9986044951358604,1.0,1.0,1.0,1.0,1.0,0.9583025830258303,0.9915129151291513,1.0
NW-flex,5,5,5420.0,0.9993290841999328,1.0,1.0,1.0,1.0,1.0,0.9894833948339483,0.9961254612546125,1.0
NW-flex,5,6,5420.0,0.9997249245219724,1.0,1.0,1.0,1.0,1.0,0.9944649446494465,0.9985239852398524,1.0
NW-flex,5,10,5420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,5,11,5420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,10,-1,5420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,10,1,5420.0,0.9271402214022141,0.8,0.9,1.0,1.0,1.0,0.5826568265682657,0.5826568265682657,0.9961254612546125
NW-flex,10,2,5420.0,0.9957564575645756,1.0,1.0,1.0,1.0,1.0,0.9678966789667897,0.9678966789667897,1.0
NW-flex,10,3,5420.0,0.9980627306273063,1.0,1.0,1.0,1.0,1.0,0.9854243542435425,0.9854243542435425,1.0
NW-flex,10,4,5420.0,0.9990405904059039,1.0,1.0,1.0,1.0,1.0,0.9916974169741697,0.9916974169741697,1.0
NW-flex,10,5,5420.0,0.9993911439114391,1.0,1.0,1.0,1.0,1.0,0.9964944649446494,0.9964944649446494,1.0
NW-flex,10,6,5420.0,0.999760147601476,1.0,1.0,1.0,1.0,1.0,0.9985239852398524,0.9985239852398524,1.0
NW-flex,10,10,5420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,10,11,5420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,20,-1,5420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,20,1,5420.0,0.9271402214022141,0.8,0.9,1.0,1.0,1.0,0.5826568265682657,0.5826568265682657,0.9961254612546125
NW-flex,20,2,5420.0,0.9957564575645756,1.0,1.0,1.0,1.0,1.0,0.9678966789667897,0.9678966789667897,1.0
NW-flex,20,3,5420.0,0.9980627306273063,1.0,1.0,1.0,1.0,1.0,0.9854243542435425,0.9854243542435425,1.0
NW-flex,20,4,5420.0,0.9990405904059039,1.0,1.0,1.0,1.0,1.0,0.9916974169741697,0.9916974169741697,1.0
NW-flex,20,5,5420.0,0.9993911439114391,1.0,1.0,1.0,1.0,1.0,0.9964944649446494,0.9964944649446494,1.0
NW-flex,20,6,5420.0,0.999760147601476,1.0,1.0,1.0,1.0,1.0,0.9985239852398524,0.9985239852398524,1.0
NW-flex,20,10,5420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NW-flex,20,11,5420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
