pind,arm,delta,correct
412,BWA-std,5,0.0
412,NW-flex,5,1.0
413,BWA-no-clip,-5,0.6
413,BWA-std,-5,0.1
413,NW-flex,-5,1.0
413,BWA-no-clip,-4,0.7
413,BWA-std,-4,0.2
413,NW-flex,-4,1.0
413,BWA-no-clip,-3,0.7
413,BWA-std,-3,0.4
413,NW-flex,-3,1.0
413,BWA-no-clip,-2,0.7333333333333333
413,BWA-std,-2,0.5
413,NW-flex,-2,1.0
413,BWA-no-clip,-1,0.7
413,BWA-std,-1,0.7
413,NW-flex,-1,1.0
413,BWA-no-clip,0,1.0
413,BWA-std,0,1.0
413,NW-flex,0,1.0
413,BWA-no-clip,1,0.8
413,BWA-std,1,0.7
413,NW-flex,1,1.0
413,BWA-no-clip,2,0.8
413,BWA-std,2,0.5
413,NW-flex,2,1.0
413,BWA-no-clip,3,0.8
413,BWA-std,3,0.3
413,NW-flex,3,1.0
413,BWA-no-clip,4,0.8
413,BWA-std,4,0.1
413,NW-flex,4,1.0
413,BWA-no-clip,5,0.8
413,BWA-std,5,0.0
413,NW-flex,5,1.0
414,BWA-no-clip,-5,0.5
414,BWA-std,-5,0.1
414,NW-flex,-5,1.0
414,BWA-no-clip,-4,0.5
414,BWA-std,-4,0.2
414,NW-flex,-4,1.0
414,BWA-no-clip,-3,0.7
414,BWA-std,-3,0.4
414,NW-flex,-3,1.0
414,BWA-no-clip,-2,0.8
414,BWA-std,-2,0.5
414,NW-flex,-2,1.0
414,BWA-no-clip,-1,0.8
414,BWA-std,-1,0.7
414,NW-flex,-1,1.0
414,BWA-no-clip,0,1.0
414,BWA-std,0,1.0
414,NW-flex,0,1.0
414,BWA-no-clip,1,0.9
414,BWA-std,1,0.7
414,NW-flex,1,1.0
414,BWA-no-clip,2,0.9
414,BWA-std,2,0.5
414,NW-flex,2,1.0
414,BWA-no-clip,3,0.9
414,BWA-std,3,0.3
414,NW-flex,3,1.0
414,BWA-no-clip,4,0.9
414,BWA-std,4,0.1
414,NW-flex,4,1.0
414,BWA-no-clip,5,0.9
414,BWA-std,5,0.0
414,NW-flex,5,1.0
415,BWA-no-clip,-5,0.5
415,BWA-std,-5,0.1
415,NW-flex,-5,1.0
415,BWA-no-clip,-4,0.5
415,BWA-std,-4,0.2
415,NW-flex,-4,1.0
415,BWA-no-clip,-3,0.5
415,BWA-std,-3,0.4
415,NW-flex,-3,1.0
415,BWA-no-clip,-2,0.6
415,BWA-std,-2,0.5
415,NW-flex,-2,1.0
415,BWA-no-clip,-1,0.5
415,BWA-std,-1,0.5
415,NW-flex,-1,1.0
415,BWA-no-clip,0,1.0
415,BWA-std,0,1.0
415,NW-flex,0,1.0
415,BWA-no-clip,1,0.6
415,BWA-std,1,0.6
415,NW-flex,1,1.0
