pind,arm,snv_offset,correct
414,NW-flex,10,1.0
414,BWA-no-clip,2,0.6636363636363637
414,BWA-std,2,0.12727272727272726
414,NW-flex,2,0.996969696969697
414,BWA-no-clip,3,0.7818181818181819
414,BWA-std,3,0.13636363636363635
414,NW-flex,3,1.0
414,BWA-no-clip,5,0.7818181818181819
414,BWA-std,5,0.19090909090909092
414,NW-flex,5,1.0
414,BWA-no-clip,-1,0.8
414,BWA-std,-1,0.4090909090909091
414,NW-flex,-1,1.0
415,BWA-no-clip,0,0.34545454545454546
415,BWA-std,0,0.10909090909090909
415,NW-flex,0,0.5
415,BWA-no-clip,1,0.4727272727272727
415,BWA-std,1,0.12727272727272726
415,NW-flex,1,0.9878787878787879
415,BWA-no-clip,10,0.6
415,BWA-std,10,0.38181818181818183
415,NW-flex,10,1.0
415,BWA-no-clip,2,0.5181818181818182
415,BWA-std,2,0.12727272727272726
415,NW-flex,2,1.0
415,BWA-no-clip,3,0.49393939393939396
415,BWA-std,3,0.12727272727272726
415,NW-flex,3,1.0
415,BWA-no-clip,5,0.5545454545454546
415,BWA-std,5,0.16363636363636364
415,NW-flex,5,1.0
415,BWA-no-clip,-1,0.6
415,BWA-std,-1,0.38181818181818183
415,NW-flex,-1,1.0
416,BWA-no-clip,0,0.7
416,BWA-std,0,0.12727272727272726
416,NW-flex,0,0.996969696969697
416,BWA-no-clip,1,0.7545454545454545
416,BWA-std,1,0.12727272727272726
416,NW-flex,1,1.0
416,BWA-no-clip,10,0.8545454545454545
416,BWA-std,10,0.4090909090909091
416,NW-flex,10,1.0
416,BWA-no-clip,2,0.7181818181818181
416,BWA-std,2,0.12727272727272726
416,NW-flex,2,1.0
416,BWA-no-clip,3,0.7
416,BWA-std,3,0.13636363636363635
416,NW-flex,3,1.0
416,BWA-no-clip,5,0.8363636363636363
416,BWA-std,5,0.19090909090909092
416,NW-flex,5,1.0
416,BWA-no-clip,-1,0.8545454545454545
416,BWA-std,-1,0.4090909090909091
416,NW-flex,-1,1.0
417,BWA-no-clip,0,0.5363636363636364
417,BWA-std,0,0.12727272727272726
417,NW-flex,0,1.0
417,BWA-no-clip,1,0.6272727272727273
417,BWA-std,1,0.12727272727272726
417,NW-flex,1,1.0
417,BWA-no-clip,10,0.7727272727272727
417,BWA-std,10,0.4
417,NW-flex,10,1.0
417,BWA-no-clip,2,0.6272727272727273
417,BWA-std,2,0.12727272727272726
417,NW-flex,2,1.0
417,BWA-no-clip,3,0.7454545454545455
417,BWA-std,3,0.13636363636363635
417,NW-flex,3,1.0
417,BWA-no-clip,5,0.6545454545454545
417,BWA-std,5,0.18181818181818182
417,NW-flex,5,1.0
417,BWA-no-clip,-1,0.7727272727272727
417,BWA-std,-1,0.4
417,NW-flex,-1,1.0
418,BWA-no-clip,0,0.7272727272727273
418,BWA-std,0,0.12727272727272726
418,NW-flex,0,1.0
418,BWA-no-clip,1,0.7545454545454545
418,BWA-std,1,0.12727272727272726
418,NW-flex,1,1.0
418,BWA-no-clip,10,0.9090909090909091
418,BWA-std,10,0.41818181818181815
418,NW-flex,10,1.0
418,BWA-no-clip,2,0.8545454545454545
418,BWA-std,2,0.13636363636363635
418,NW-flex,2,1.0
418,BWA-no-clip,3,0.8454545454545455
418,BWA-std,3,0.14545454545454545
418,NW-flex,3,1.0
418,BWA-no-clip,5,0.8818181818181818
418,BWA-std,5,0.2
418,NW-flex,5,1.0
418,BWA-no-clip,-1,0.9090909090909091
418,BWA-std,-1,0.41818181818181815
418,NW-flex,-1,1.0
419,BWA-no-clip,0,0.42727272727272725
419,BWA-std,0,0.10909090909090909
419,NW-flex,0,0.8
419,BWA-no-clip,1,0.5818181818181818
419,BWA-std,1,0.12727272727272726
419,NW-flex,1,0.996969696969697
419,BWA-no-clip,10,0.8181818181818182
419,BWA-std,10,0.4090909090909091
419,NW-flex,10,1.0
419,BWA-no-clip,2,0.6121212121212121
419,BWA-std,2,0.12727272727272726
419,NW-flex,2,1.0
419,BWA-no-clip,3,0.7
419,BWA-std,3,0.13636363636363635
419,NW-flex,3,1.0
419,BWA-no-clip,5,0.7181818181818181
419,BWA-std,5,0.19090909090909092
419,NW-flex,5,1.0
419,BWA-no-clip,-1,0.8181818181818182
419,BWA-std,-1,0.4090909090909091
419,NW-flex,-1,1.0
420,BWA-no-clip,0,0.7545454545454545
420,BWA-std,0,0.12727272727272726
420,NW-flex,0,0.9939393939393939
420,BWA-no-clip,1,0.7454545454545455
420,BWA-std,1,0.12727272727272726
420,NW-flex,1,1.0
420,BWA-no-clip,10,0.8909090909090909
420,BWA-std,10,0.41818181818181815
420,NW-flex,10,1.0
420,BWA-no-clip,2,0.8454545454545455
420,BWA-std,2,0.13636363636363635
420,NW-flex,2,1.0
420,BWA-no-clip,3,0.8363636363636363
420,BWA-std,3,0.14545454545454545
420,NW-flex,3,1.0
420,BWA-no-clip,5,0.8909090909090909
420,BWA-std,5,0.2
420,NW-flex,5,1.0
420,BWA-no-clip,-1,0.8909090909090909
420,BWA-std,-1,0.41818181818181815
420,NW-flex,-1,1.0
421,BWA-no-clip,0,0.5909090909090909
421,BWA-std,0,0.12727272727272726
421,NW-flex,0,0.996969696969697
421,BWA-no-clip,1,0.5545454545454546
421,BWA-std,1,0.12727272727272726
421,NW-flex,1,1.0
421,BWA-no-clip,10,0.8090909090909091
421,BWA-std,10,0.41818181818181815
421,NW-flex,10,1.0
421,BWA-no-clip,2,0.6545454545454545
421,BWA-std,2,0.13636363636363635
421,NW-flex,2,1.0
421,BWA-no-clip,3,0.6636363636363637
421,BWA-std,3,0.14545454545454545
421,NW-flex,3,1.0
421,BWA-no-clip,5,0.7818181818181819
421,BWA-std,5,0.2
421,NW-flex,5,1.0
421,BWA-no-clip,-1,0.8090909090909091
421,BWA-std,-1,0.41818181818181815
421,NW-flex,-1,1.0
422,BWA-no-clip,0,0.7363636363636363
422,BWA-std,0,0.12727272727272726
422,NW-flex,0,0.996969696969697
422,BWA-no-clip,1,0.7090909090909091
422,BWA-std,1,0.12727272727272726
422,NW-flex,1,1.0
422,BWA-no-clip,10,0.9
422,BWA-std,10,0.41818181818181815
422,NW-flex,10,1.0
422,BWA-no-clip,2,0.8181818181818182
422,BWA-std,2,0.13636363636363635
422,NW-flex,2,1.0
422,BWA-no-clip,3,0.8272727272727273
422,BWA-std,3,0.14545454545454545
422,NW-flex,3,1.0
422,BWA-no-clip,5,0.8909090909090909
422,BWA-std,5,0.2
422,NW-flex,5,1.0
422,BWA-no-clip,-1,0.9
422,BWA-std,-1,0.41818181818181815
422,NW-flex,-1,1.0
423,BWA-no-clip,0,0.6363636363636364
423,BWA-std,0,0.12727272727272726
423,NW-flex,0,1.0
423,BWA-no-clip,1,0.8
423,BWA-std,1,0.12727272727272726
423,NW-flex,1,1.0
423,BWA-no-clip,10,0.8454545454545455
423,BWA-std,10,0.4090909090909091
423,NW-flex,10,1.0
423,BWA-no-clip,2,0.7272727272727273
423,BWA-std,2,0.12727272727272726
423,NW-flex,2,1.0
423,BWA-no-clip,3,0.8090909090909091
423,BWA-std,3,0.13636363636363635
423,NW-flex,3,1.0
423,BWA-no-clip,5,0.8
423,BWA-std,5,0.19090909090909092
423,NW-flex,5,1.0
423,BWA-no-clip,-1,0.8454545454545455
423,BWA-std,-1,0.4090909090909091
423,NW-flex,-1,1.0
424,BWA-no-clip,0,0.39090909090909093
424,BWA-std,0,0.10909090909090909
424,NW-flex,0,0.6
424,BWA-no-clip,1,0.5909090909090909
424,BWA-std,1,0.12727272727272726
424,NW-flex,1,0.990909090909091
424,BWA-no-clip,10,0.6515151515151515
424,BWA-std,10,0.4
424,NW-flex,10,1.0
424,BWA-no-clip,2,0.5454545454545454
424,BWA-std,2,0.12727272727272726
424,NW-flex,2,1.0
424,BWA-no-clip,3,0.5606060606060606
424,BWA-std,3,0.13636363636363635
424,NW-flex,3,0.9030303030303031
424,BWA-no-clip,5,0.6060606060606061
424,BWA-std,5,0.18181818181818182
424,NW-flex,5,1.0
424,BWA-no-clip,-1,0.6515151515151515
424,BWA-std,-1,0.4
424,NW-flex,-1,1.0
425,BWA-no-clip,0,0.4484848484848485
425,BWA-std,0,0.10909090909090909
425,NW-flex,0,0.7
425,BWA-no-clip,1,0.6636363636363637
425,BWA-std,1,0.12727272727272726
425,NW-flex,1,0.9939393939393939
425,BWA-no-clip,10,0.7666666666666667
425,BWA-std,10,0.4090909090909091
425,NW-flex,10,1.0
425,BWA-no-clip,2,0.5727272727272728
425,BWA-std,2,0.12727272727272726
425,NW-flex,2,1.0
425,BWA-no-clip,3,0.6848484848484848
425,BWA-std,3,0.13636363636363635
425,NW-flex,3,1.0
425,BWA-no-clip,5,0.7393939393939394
425,BWA-std,5,0.19090909090909092
425,NW-flex,5,1.0
425,BWA-no-clip,-1,0.7666666666666667
425,BWA-std,-1,0.4090909090909091
425,NW-flex,-1,1.0
426,BWA-no-clip,0,0.5545454545454546
426,BWA-std,0,0.12727272727272726
426,NW-flex,0,0.996969696969697
426,BWA-no-clip,1,0.6636363636363637
426,BWA-std,1,0.12727272727272726
426,NW-flex,1,1.0
426,BWA-no-clip,10,0.7636363636363637
426,BWA-std,10,0.4090909090909091
426,NW-flex,10,1.0
426,BWA-no-clip,2,0.4
426,BWA-std,2,0.12727272727272726
426,NW-flex,2,1.0
426,BWA-no-clip,3,0.6818181818181818
426,BWA-std,3,0.13636363636363635
426,NW-flex,3,1.0
426,BWA-no-clip,5,0.7272727272727273
426,BWA-std,5,0.19090909090909092
426,NW-flex,5,1.0
426,BWA-no-clip,-1,0.7636363636363637
426,BWA-std,-1,0.4090909090909091
426,NW-flex,-1,1.0
427,BWA-no-clip,0,0.44545454545454544
427,BWA-std,0,0.10909090909090909
427,NW-flex,0,0.7
427,BWA-no-clip,1,0.6636363636363637
427,BWA-std,1,0.12727272727272726
427,NW-flex,1,0.9939393939393939
427,BWA-no-clip,10,0.7666666666666667
427,BWA-std,10,0.4090909090909091
427,NW-flex,10,1.0
427,BWA-no-clip,2,0.5363636363636364
427,BWA-std,2,0.12727272727272726
427,NW-flex,2,1.0
427,BWA-no-clip,3,0.4727272727272727
427,BWA-std,3,0.13636363636363635
427,NW-flex,3,0.990909090909091
427,BWA-no-clip,5,0.7121212121212122
427,BWA-std,5,0.19090909090909092
427,NW-flex,5,1.0
427,BWA-no-clip,-1,0.7666666666666667
427,BWA-std,-1,0.4090909090909091
427,NW-flex,-1,1.0
428,BWA-no-clip,0,0.4727272727272727
428,BWA-std,0,0.12727272727272726
428,NW-flex,0,1.0
428,BWA-no-clip,1,0.6454545454545455
428,BWA-std,1,0.12727272727272726
428,NW-flex,1,1.0
428,BWA-no-clip,10,0.7090909090909091
428,BWA-std,10,0.4
428,NW-flex,10,1.0
428,BWA-no-clip,2,0.4909090909090909
428,BWA-std,2,0.10909090909090909
428,NW-flex,2,1.0
428,BWA-no-clip,3,0.6909090909090909
428,BWA-std,3,0.13636363636363635
428,NW-flex,3,1.0
428,BWA-no-clip,5,0.6909090909090909
428,BWA-std,5,0.18181818181818182
428,NW-flex,5,1.0
428,BWA-no-clip,-1,0.7090909090909091
428,BWA-std,-1,0.4
428,NW-flex,-1,1.0
429,BWA-no-clip,0,0.6090909090909091
429,BWA-std,0,0.12727272727272726
429,NW-flex,0,0.9939393939393939
429,BWA-no-clip,1,0.7181818181818181
429,BWA-std,1,0.12727272727272726
429,NW-flex,1,1.0
429,BWA-no-clip,10,0.8636363636363636
429,BWA-std,10,0.41818181818181815
429,NW-flex,10,1.0
429,BWA-no-clip,2,0.7363636363636363
429,BWA-std,2,0.13636363636363635
429,NW-flex,2,1.0
429,BWA-no-clip,3,0.7636363636363637
429,BWA-std,3,0.14545454545454545
429,NW-flex,3,1.0
429,BWA-no-clip,5,0.8181818181818182
429,BWA-std,5,0.2
429,NW-flex,5,1.0
429,BWA-no-clip,-1,0.8636363636363636
429,BWA-std,-1,0.41818181818181815
429,NW-flex,-1,1.0
430,BWA-no-clip,0,0.6363636363636364
430,BWA-std,0,0.12727272727272726
430,NW-flex,0,0.996969696969697
430,BWA-no-clip,1,0.7727272727272727
430,BWA-std,1,0.12727272727272726
430,NW-flex,1,1.0
430,BWA-no-clip,10,0.8454545454545455
430,BWA-std,10,0.4090909090909091
430,NW-flex,10,1.0
430,BWA-no-clip,2,0.7
430,BWA-std,2,0.12727272727272726
430,NW-flex,2,1.0
430,BWA-no-clip,3,0.7909090909090909
430,BWA-std,3,0.13636363636363635
430,NW-flex,3,1.0
430,BWA-no-clip,5,0.7818181818181819
430,BWA-std,5,0.19090909090909092
430,NW-flex,5,1.0
430,BWA-no-clip,-1,0.8454545454545455
430,BWA-std,-1,0.4090909090909091
430,NW-flex,-1,1.0
431,BWA-no-clip,0,0.6636363636363637
431,BWA-std,0,0.12727272727272726
431,NW-flex,0,1.0
431,BWA-no-clip,1,0.7181818181818181
431,BWA-std,1,0.12727272727272726
431,NW-flex,1,1.0
431,BWA-no-clip,10,0.8636363636363636
431,BWA-std,10,0.4090909090909091
431,NW-flex,10,1.0
431,BWA-no-clip,2,0.6818181818181818
431,BWA-std,2,0.12727272727272726
431,NW-flex,2,1.0
431,BWA-no-clip,3,0.8
431,BWA-std,3,0.13636363636363635
431,NW-flex,3,1.0
431,BWA-no-clip,5,0.8181818181818182
431,BWA-std,5,0.19090909090909092
431,NW-flex,5,1.0
431,BWA-no-clip,-1,0.8636363636363636
431,BWA-std,-1,0.4090909090909091
