pind1,pind2,arm,bridge_len,correct
708,2215,BWA-std,1,0.4628099173553719
708,2215,NW-flex,1,1.0
708,2215,BWA-no-clip,2,0.8677685950413223
708,2215,BWA-std,2,0.8842975206611571
708,2215,NW-flex,2,1.0
708,2215,BWA-no-clip,3,1.0
708,2215,BWA-std,3,1.0
708,2215,NW-flex,3,1.0
708,2215,BWA-no-clip,4,1.0
708,2215,BWA-std,4,1.0
708,2215,NW-flex,4,1.0
708,2215,BWA-no-clip,5,1.0
708,2215,BWA-std,5,1.0
708,2215,NW-flex,5,1.0
719,6546,BWA-no-clip,1,0.859504132231405
719,6546,BWA-std,1,0.71900826446281
719,6546,NW-flex,1,1.0
719,6546,BWA-no-clip,2,1.0
719,6546,BWA-std,2,1.0
719,6546,NW-flex,2,1.0
719,6546,BWA-no-clip,3,1.0
719,6546,BWA-std,3,1.0
719,6546,NW-flex,3,1.0
719,6546,BWA-no-clip,4,1.0
719,6546,BWA-std,4,1.0
719,6546,NW-flex,4,1.0
719,6546,BWA-no-clip,5,1.0
719,6546,BWA-std,5,1.0
719,6546,NW-flex,5,1.0
728,3821,BWA-no-clip,1,0.32231404958677684
728,3821,BWA-std,1,0.5041322314049587
728,3821,NW-flex,1,1.0
728,3821,BWA-no-clip,2,1.0
728,3821,BWA-std,2,1.0
728,3821,NW-flex,2,1.0
728,3821,BWA-no-clip,3,1.0
728,3821,BWA-std,3,1.0
728,3821,NW-flex,3,1.0
728,3821,BWA-no-clip,4,1.0
728,3821,BWA-std,4,1.0
728,3821,NW-flex,4,1.0
728,3821,BWA-no-clip,5,1.0
728,3821,BWA-std,5,1.0
728,3821,NW-flex,5,1.0
736,3493,BWA-no-clip,1,0.23140495867768596
736,3493,BWA-std,1,0.4214876033057851
736,3493,NW-flex,1,1.0
736,3493,BWA-no-clip,2,0.71900826446281
736,3493,BWA-std,2,0.8099173553719008
736,3493,NW-flex,2,1.0
736,3493,BWA-no-clip,3,1.0
736,3493,BWA-std,3,1.0
736,3493,NW-flex,3,1.0
736,3493,BWA-no-clip,4,1.0
736,3493,BWA-std,4,1.0
736,3493,NW-flex,4,1.0
736,3493,BWA-no-clip,5,1.0
736,3493,BWA-std,5,1.0
736,3493,NW-flex,5,1.0
738,5151,BWA-no-clip,1,0.5537190082644629
738,5151,BWA-std,1,0.6446280991735537
738,5151,NW-flex,1,1.0
738,5151,BWA-no-clip,2,1.0
738,5151,BWA-std,2,1.0
738,5151,NW-flex,2,1.0
738,5151,BWA-no-clip,3,1.0
738,5151,BWA-std,3,1.0
738,5151,NW-flex,3,1.0
738,5151,BWA-no-clip,4,1.0
738,5151,BWA-std,4,1.0
738,5151,NW-flex,4,1.0
738,5151,BWA-no-clip,5,1.0
738,5151,BWA-std,5,1.0
738,5151,NW-flex,5,1.0
741,6637,BWA-no-clip,1,0.2975206611570248
741,6637,BWA-std,1,0.4049586776859504
741,6637,NW-flex,1,1.0
741,6637,BWA-no-clip,2,1.0
741,6637,BWA-std,2,1.0
741,6637,NW-flex,2,1.0
741,6637,BWA-no-clip,3,1.0
741,6637,BWA-std,3,1.0
741,6637,NW-flex,3,1.0
741,6637,BWA-no-clip,4,1.0
741,6637,BWA-std,4,1.0
741,6637,NW-flex,4,1.0
741,6637,BWA-no-clip,5,1.0
741,6637,BWA-std,5,1.0
741,6637,NW-flex,5,1.0
774,3987,BWA-no-clip,1,0.5867768595041323
774,3987,BWA-std,1,0.628099173553719
774,3987,NW-flex,1,1.0
774,3987,BWA-no-clip,2,0.6446280991735537
774,3987,BWA-std,2,0.6942148760330579
774,3987,NW-flex,2,1.0
774,3987,BWA-no-clip,3,0.6611570247933884
774,3987,BWA-std,3,0.7603305785123967
774,3987,NW-flex,3,1.0
774,3987,BWA-no-clip,4,1.0
774,3987,BWA-std,4,1.0
774,3987,NW-flex,4,1.0
774,3987,BWA-no-clip,5,1.0
774,3987,BWA-std,5,1.0
774,3987,NW-flex,5,1.0
780,5585,BWA-no-clip,1,0.39669421487603307
780,5585,BWA-std,1,0.5371900826446281
780,5585,NW-flex,1,1.0
780,5585,BWA-no-clip,2,1.0
780,5585,BWA-std,2,1.0
780,5585,NW-flex,2,1.0
780,5585,BWA-no-clip,3,1.0
780,5585,BWA-std,3,1.0
780,5585,NW-flex,3,1.0
780,5585,BWA-no-clip,4,1.0
780,5585,BWA-std,4,1.0
780,5585,NW-flex,4,1.0
780,5585,BWA-no-clip,5,1.0
780,5585,BWA-std,5,1.0
780,5585,NW-flex,5,1.0
786,4747,BWA-no-clip,1,0.6198347107438017
786,4747,BWA-std,1,0.71900826446281
786,4747,NW-flex,1,1.0
786,4747,BWA-no-clip,2,1.0
786,4747,BWA-std,2,1.0
786,4747,NW-flex,2,1.0
786,4747,BWA-no-clip,3,1.0
786,4747,BWA-std,3,1.0
786,4747,NW-flex,3,1.0
786,4747,BWA-no-clip,4,1.0
786,4747,BWA-std,4,1.0
786,4747,NW-flex,4,1.0
786,4747,BWA-no-clip,5,1.0
786,4747,BWA-std,5,1.0
786,4747,NW-flex,5,1.0
794,6800,BWA-no-clip,1,0.6859504132231405
794,6800,BWA-std,1,0.7024793388429752
794,6800,NW-flex,1,1.0
794,6800,BWA-no-clip,2,1.0
794,6800,BWA-std,2,1.0
794,6800,NW-flex,2,1.0
794,6800,BWA-no-clip,3,1.0
794,6800,BWA-std,3,1.0
794,6800,NW-flex,3,1.0
794,6800,BWA-no-clip,4,1.0
794,6800,BWA-std,4,1.0
794,6800,NW-flex,4,1.0
794,6800,BWA-no-clip,5,1.0
794,6800,BWA-std,5,1.0
794,6800,NW-flex,5,1.0
795,1965,BWA-no-clip,1,0.2975206611570248
795,1965,BWA-std,1,0.4132231404958678
795,1965,NW-flex,1,1.0
795,1965,BWA-no-clip,2,0.7024793388429752
795,1965,BWA-std,2,0.7851239669421488
795,1965,NW-flex,2,1.0
795,1965,BWA-no-clip,3,0.9008264462809917
795,1965,BWA-std,3,0.9256198347107438
795,1965,NW-flex,3,1.0
795,1965,BWA-no-clip,4,1.0
795,1965,BWA-std,4,1.0
795,1965,NW-flex,4,1.0
795,1965,BWA-no-clip,5,1.0
795,1965,BWA-std,5,1.0
795,1965,NW-flex,5,1.0
804,3747,BWA-no-clip,1,0.2644628099173554
804,3747,BWA-std,1,0.3140495867768595
