N,snv_offset,motif_len,arm,delta,lflank,n_loci,frac_P,frac_T,frac_M,frac_D,frac_score_eq_truth,frac_P_fwd,frac_T_fwd,frac_M_fwd,frac_D_fwd,frac_score_eq_truth_fwd,frac_P_rc,frac_T_rc,frac_M_rc,frac_D_rc,frac_score_eq_truth_rc
5,-1,1,BWA-no-clip,1,3,399.0,0.9598997493734336,0.0,0.0,0.040100250626566414,0.9598997493734336,0.9598997493734336,0.0,0.0,0.040100250626566414,0.9598997493734336,0.949874686716792,0.010025062656641603,0.0,0.040100250626566414,0.9598997493734336
5,-1,1,BWA-no-clip,1,4,399.0,0.9724310776942355,0.0,0.0,0.02756892230576441,0.9724310776942355,0.9724310776942355,0.0,0.0,0.02756892230576441,0.9724310776942355,0.9699248120300752,0.002506265664160401,0.0,0.02756892230576441,0.9724310776942355
5,-1,1,BWA-no-clip,1,5,399.0,0.9774436090225563,0.0,0.0,0.022556390977443608,0.9774436090225563,0.9774436090225563,0.0,0.0,0.022556390977443608,0.9774436090225563,0.9774436090225563,0.0,0.0,0.022556390977443608,0.9774436090225563
5,-1,1,BWA-no-clip,1,6,399.0,0.9874686716791979,0.0,0.0,0.012531328320802004,0.9874686716791979,0.9874686716791979,0.0,0.0,0.012531328320802004,0.9874686716791979,0.9874686716791979,0.0,0.0,0.012531328320802004,0.9874686716791979
5,-1,1,BWA-no-clip,1,7,399.0,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584,0.9899749373433584,0.0,0.0,0.010025062656641603,0.9899749373433584
5,-1,1,BWA-no-clip,1,8,399.0,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395,0.9974937343358395,0.0,0.0,0.002506265664160401,0.9974937343358395
5,-1,1,BWA-no-clip,1,9,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,1,10,399.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
5,-1,1,BWA-no-clip,2,1,399.0,0.45864661654135336,0.46115288220551376,0.0,0.08020050125313283,0.9197994987468672,0.45864661654135336,0.46115288220551376,0.0,0.08020050125313283,0.9197994987468672,0.43107769423558895,0.45864661654135336,0.0,0.11027568922305764,0.8897243107769424
5,-1,1,BWA-no-clip,2,2,399.0,0.7719298245614035,0.20300751879699247,0.0,0.02506265664160401,0.974937343358396,0.7719298245614035,0.20300751879699247,0.0,0.02506265664160401,0.974937343358396,0.7619047619047619,0.20551378446115287,0.0,0.03258145363408521,0.9674185463659147
5,-1,1,BWA-no-clip,2,3,399.0,0.949874686716792,0.03759398496240601,0.0,0.012531328320802004,0.9874686716791979,0.949874686716792,0.03759398496240601,0.0,0.012531328320802004,0.9874686716791979,0.949874686716792,0.03759398496240601,0.0,0.012531328320802004,0.9874686716791979
5,-1,1,BWA-no-clip,2,4,399.0,0.9674185463659147,0.022556390977443608,0.0,0.010025062656641603,0.9899749373433584,0.9674185463659147,0.022556390977443608,0.0,0.010025062656641603,0.9899749373433584,0.9674185463659147,0.022556390977443608,0.0,0.010025062656641603,0.9899749373433584
5,-1,1,BWA-no-clip,2,5,399.0,0.9799498746867168,0.015037593984962405,0.0,0.005012531328320802,0.9949874686716792,0.9799498746867168,0.015037593984962405,0.0,0.005012531328320802,0.9949874686716792,0.9799498746867168,0.015037593984962405,0.0,0.005012531328320802,0.9949874686716792
5,-1,1,BWA-no-clip,2,6,399.0,0.9799498746867168,0.017543859649122806,0.0,0.002506265664160401,0.9974937343358395,0.9799498746867168,0.017543859649122806,0.0,0.002506265664160401,0.9974937343358395,0.9799498746867168,0.017543859649122806,0.0,0.002506265664160401,0.9974937343358395
